torneo,fecha,partido,equipo_local,equipo_visitante,goles_local,goles_visitante,posesion_local,tiros_arco_local,intentos_local,fouls_local,corners_local,posesion_visitante,tiros_arco_visitante,intentos_visitante,fouls_visitante,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante
Apertura 2009,14,4,Colon,Argentinos,2,0,,,,,,,,,,,,,,
Apertura 2009,14,5,San Lorenzo,Independiente,0,3,,,,,,,,,,,,,,
Apertura 2009,14,6,River Plate,Atl Tucuman,3,1,,,,,,,,,,,,,,
Apertura 2009,14,7,Arsenal,Boca Juniors,1,1,,,,,,,,,,,,,,
Apertura 2009,14,8,Racing Club,Estudiantes (LP),1,0,,,,,,,,,,,,,,
Apertura 2009,14,9,Gimnasia (LP),Huracan,4,1,,,,,,,,,,,,,,
Apertura 2009,14,10,Rosario Central,Lanus,0,0,,,,,,,,,,,,,,
Apertura 2009,15,1,Estudiantes (LP),Tigre,3,1,,,,,,,,,,,,,,
Apertura 2009,15,2,Lanus,Colon,3,0,,,,,,,,,,,,,,
Apertura 2009,15,3,Huracan,San Lorenzo,0,2,,,,,,,,,,,,,,
Apertura 2009,15,4,Atl Tucuman,Chacarita,2,1,,,,,,,,,,,,,,
Apertura 2009,15,5,Independiente,Banfield,1,2,,,,,,,,,,,,,,
Apertura 2009,15,6,Newells,Rosario Central,2,2,,,,,,,,,,,,,,
Apertura 2009,15,7,Boca Juniors,Gimnasia (LP),4,0,,,,,,,,,,,,,,
Apertura 2009,15,8,Godoy Cruz,River Plate,1,1,,,,,,,,,,,,,,
Apertura 2009,15,9,Argentinos,Arsenal,1,1,,,,,,,,,,,,,,
Apertura 2009,15,10,Velez,Racing Club,4,2,,,,,,,,,,,,,,
Apertura 2009,16,1,Rosario Central,Atl Tucuman,1,1,,,,,,,,,,,,,,
Apertura 2009,16,2,Independiente,Huracan,2,0,,,,,,,,,,,,,,
Apertura 2009,16,3,Chacarita,Godoy Cruz,2,1,,,,,,,,,,,,,,
Apertura 2009,16,4,River Plate,Estudiantes (LP),1,1,,,,,,,,,,,,,,
Apertura 2009,16,5,San Lorenzo,Boca Juniors,3,0,,,,,,,,,,,,,,
Apertura 2009,16,6,Tigre,Velez,0,3,,,,,,,,,,,,,,
Apertura 2009,16,7,Banfield,Racing Club,1,2,,,,,,,,,,,,,,
Apertura 2009,16,8,Arsenal,Lanus,2,5,,,,,,,,,,,,,,
Apertura 2009,16,9,Colon,Newells,0,1,,,,,,,,,,,,,,
Apertura 2009,16,10,Gimnasia (LP),Argentinos,1,2,,,,,,,,,,,,,,
Apertura 2009,17,1,Estudiantes (LP),Chacarita,0,0,,,,,,,,,,,,,,
Apertura 2009,17,2,Godoy Cruz,Rosario Central,1,1,,,,,,,,,,,,,,
Apertura 2009,17,3,Huracan,Banfield,0,1,,,,,,,,,,,,,,
Apertura 2009,17,4,Racing Club,Tigre,1,0,,,,,,,,,,,,,,
Apertura 2009,17,5,Argentinos,San Lorenzo,2,1,,,,,,,,,,,,,,
Apertura 2009,17,6,Atl Tucuman,Colon,2,0,,,,,,,,,,,,,,
Apertura 2009,17,7,Boca Juniors,Independiente,1,2,,,,,,,,,,,,,,
Apertura 2009,17,8,Velez,River Plate,3,1,,,,,,,,,,,,,,
Apertura 2009,17,9,Newells,Arsenal,1,2,,,,,,,,,,,,,,
Apertura 2009,17,10,Lanus,Gimnasia (LP),2,0,,,,,,,,,,,,,,
Apertura 2009,18,1,Rosario Central,Estudiantes (LP),3,0,,,,,,,,,,,,,,
Apertura 2009,18,2,Huracan,Boca Juniors,0,0,,,,,,,,,,,,,,
Apertura 2009,18,3,Colon,Godoy Cruz,1,0,,,,,,,,,,,,,,
Apertura 2009,18,4,Independiente,Argentinos,1,1,,,,,,,,,,,,,,
Apertura 2009,18,5,San Lorenzo,Lanus,0,1,,,,,,,,,,,,,,
Apertura 2009,18,6,Gimnasia (LP),Newells,0,2,,,,,,,,,,,,,,
Apertura 2009,18,7,Banfield,Tigre,1,0,,,,,,,,,,,,,,
Apertura 2009,18,8,Chacarita,Velez,0,0,,,,,,,,,,,,,,
Apertura 2009,18,9,Arsenal,Atl Tucuman,2,0,,,,,,,,,,,,,,
Apertura 2009,18,10,River Plate,Racing Club,2,0,,,,,,,,,,,,,,
Apertura 2009,19,1,Estudiantes (LP),Colon,0,1,,,,,,,,,,,,,,
Apertura 2009,19,2,Argentinos,Huracan,5,1,,,,,,,,,,,,,,
Apertura 2009,19,3,Lanus,Independiente,0,0,,,,,,,,,,,,,,
Apertura 2009,19,4,Boca Juniors,Banfield,2,0,,,,,,,,,,,,,,
Apertura 2009,19,5,Newells,San Lorenzo,0,2,,,,,,,,,,,,,,
Apertura 2009,19,6,Racing Club,Chacarita,0,2,,,,,,,,,,,,,,
Apertura 2009,19,7,Tigre,River Plate,0,2,,,,,,,,,,,,,,
Apertura 2009,19,8,Velez,Rosario Central,1,2,,,,,,,,,,,,,,
Apertura 2009,19,9,Atl Tucuman,Gimnasia (LP),1,0,,,,,,,,,,,,,,
Apertura 2009,19,10,Godoy Cruz,Arsenal,0,0,,,,,,,,,,,,,,
Clausura 2010,1,1,Godoy Cruz,Gimnasia (LP),1,0,,,,,,,,,,,,,,
Clausura 2010,1,2,Newells,Independiente,0,0,,,,,,,,,,,,,,
Clausura 2010,1,3,Atl Tucuman,San Lorenzo,0,1,,,,,,,,,,,,,,
Clausura 2010,1,4,Tigre,Chacarita,0,2,,,,,,,,,,,,,,
Clausura 2010,1,5,Estudiantes (LP),Arsenal,3,0,,,,,,,,,,,,,,
Clausura 2010,1,6,Racing Club,Rosario Central,3,0,,,,,,,,,,,,,,
Clausura 2010,1,7,Lanus,Huracan,3,2,,,,,,,,,,,,,,
Clausura 2010,1,8,Argentinos,Boca Juniors,2,2,,,,,,,,,,,,,,
Clausura 2010,1,9,Velez,Colon,1,1,,,,,,,,,,,,,,
Clausura 2010,1,10,River Plate,Banfield,0,1,,,,,,,,,,,,,,
Clausura 2010,2,1,Rosario Central,Tigre,0,1,,,,,,,,,,,,,,
Clausura 2010,2,2,Colon,Racing Club,2,1,,,,,,,,,,,,,,
Clausura 2010,2,3,Arsenal,Velez,0,3,,,,,,,,,,,,,,
Clausura 2010,2,4,Gimnasia (LP),Estudiantes (LP),3,1,,,,,,,,,,,,,,
Clausura 2010,2,5,Banfield,Argentinos,3,0,,,,,,,,,,,,,,
Clausura 2010,2,6,San Lorenzo,Godoy Cruz,0,1,,,,,,,,,,,,,,
Clausura 2010,2,7,Chacarita,River Plate,2,3,,,,,,,,,,,,,,
Clausura 2010,2,8,Independiente,Atl Tucuman,3,1,,,,,,,,,,,,,,
Clausura 2010,2,9,Boca Juniors,Lanus,3,1,,,,,,,,,,,,,,
Clausura 2010,2,10,Huracan,Newells,2,1,,,,,,,,,,,,,,
Clausura 2010,3,1,Racing Club,Arsenal,2,4,,,,,,,,,,,,,,
Clausura 2010,3,2,Estudiantes (LP),San Lorenzo,2,0,,,,,,,,,,,,,,
Clausura 2010,3,3,Lanus,Argentinos,3,6,,,,,,,,,,,,,,
Clausura 2010,3,4,Atl Tucuman,Huracan,0,0,,,,,,,,,,,,,,
Clausura 2010,3,5,Godoy Cruz,Independiente,0,0,,,,,,,,,,,,,,
Clausura 2010,3,6,Newells,Boca Juniors,4,2,,,,,,,,,,,,,,
Clausura 2010,3,7,Chacarita,Banfield,2,1,,,,,,,,,,,,,,
Clausura 2010,3,8,Tigre,Colon,2,2,,,,,,,,,,,,,,
Clausura 2010,3,9,Velez,Gimnasia (LP),2,1,,,,,,,,,,,,,,
Clausura 2010,3,10,River Plate,Rosario Central,0,0,,,,,,,,,,,,,,
Clausura 2010,4,1,Gimnasia (LP),Racing Club,1,0,,,,,,,,,,,,,,
Clausura 2010,4,2,Argentinos,Newells,1,1,,,,,,,,,,,,,,
Clausura 2010,4,3,Rosario Central,Chacarita,1,1,,,,,,,,,,,,,,
Clausura 2010,4,4,San Lorenzo,Velez,0,0,,,,,,,,,,,,,,
Clausura 2010,4,5,Arsenal,Tigre,0,2,,,,,,,,,,,,,,
Clausura 2010,4,6,Boca Juniors,Atl Tucuman,0,0,,,,,,,,,,,,,,
Clausura 2010,4,7,Banfield,Lanus,2,0,,,,,,,,,,,,,,
Clausura 2010,4,8,Colon,River Plate,1,0,,,,,,,,,,,,,,
Clausura 2010,4,9,Independiente,Estudiantes (LP),3,2,,,,,,,,,,,,,,
Clausura 2010,4,10,Huracan,Godoy Cruz,0,0,,,,,,,,,,,,,,
Clausura 2010,5,1,Estudiantes (LP),Huracan,2,0,,,,,,,,,,,,,,
Clausura 2010,5,2,Banfield,Rosario Central,0,0,,,,,,,,,,,,,,
Clausura 2010,5,3,Chacarita,Colon,1,2,,,,,,,,,,,,,,
Clausura 2010,5,4,Tigre,Gimnasia (LP),1,1,,,,,,,,,,,,,,
Clausura 2010,5,5,Atl Tucuman,Argentinos,1,1,,,,,,,,,,,,,,
Clausura 2010,5,6,Velez,Independiente,3,0,,,,,,,,,,,,,,
Clausura 2010,5,7,Newells,Lanus,1,1,,,,,,,,,,,,,,
Clausura 2010,5,8,Racing Club,San Lorenzo,1,0,,,,,,,,,,,,,,
Clausura 2010,5,9,Godoy Cruz,Boca Juniors,1,1,,,,,,,,,,,,,,
Clausura 2010,5,10,River Plate,Arsenal,1,1,,,,,,,,,,,,,,
Clausura 2010,6,1,Argentinos,Godoy Cruz,1,2,,,,,,,,,,,,,,
Clausura 2010,6,2,Newells,Banfield,2,1,,,,,,,,,,,,,,
Clausura 2010,6,3,Arsenal,Chacarita,0,3,,,,,,,,,,,,,,
Clausura 2010,6,4,Colon,Rosario Central,1,1,,,,,,,,,,,,,,
Clausura 2010,6,5,Boca Juniors,Estudiantes (LP),1,1,,,,,,,,,,,,,,
Clausura 2010,6,6,San Lorenzo,Tigre,1,0,,,,,,,,,,,,,,
Clausura 2010,6,7,Huracan,Velez,3,2,,,,,,,,,,,,,,
Clausura 2010,6,8,Independiente,Racing Club,1,0,,,,,,,,,,,,,,
Clausura 2010,6,9,Gimnasia (LP),River Plate,1,1,,,,,,,,,,,,,,
Clausura 2010,6,10,Lanus,Atl Tucuman,3,0,,,,,,,,,,,,,,
Clausura 2010,7,1,Banfield,Colon,3,1,,,,,,,,,,,,,,
Clausura 2010,7,2,Tigre,Independiente,0,1,,,,,,,,,,,,,,
Clausura 2010,7,3,Racing Club,Huracan,1,1,,,,,,,,,,,,,,
Clausura 2010,7,4,Estudiantes (LP),Argentinos,0,1,,,,,,,,,,,,,,
Clausura 2010,7,5,Rosario Central,Arsenal,2,3,,,,,,,,,,,,,,
Clausura 2010,7,6,Atl Tucuman,Newells,1,1,,,,,,,,,,,,,,
Clausura 2010,7,7,Chacarita,Gimnasia (LP),0,1,,,,,,,,,,,,,,
Clausura 2010,7,8,River Plate,San Lorenzo,1,0,,,,,,,,,,,,,,
Clausura 2010,7,9,Velez,Boca Juniors,4,4,,,,,,,,,,,,,,
Clausura 2010,7,10,Godoy Cruz,Lanus,2,1,,,,,,,,,,,,,,
Clausura 2010,8,1,Huracan,Tigre,2,3,,,,,,,,,,,,,,
Clausura 2010,8,2,Atl Tucuman,Banfield,0,0,,,,,,,,,,,,,,
Clausura 2010,8,3,Newells,Godoy Cruz,2,1,,,,,,,,,,,,,,
Clausura 2010,8,4,Arsenal,Colon,3,0,,,,,,,,,,,,,,
Clausura 2010,8,5,Argentinos,Velez,1,0,,,,,,,,,,,,,,
Clausura 2010,8,6,Boca Juniors,Racing Club,1,2,,,,,,,,,,,,,,
Clausura 2010,8,7,San Lorenzo,Chacarita,3,1,,,,,,,,,,,,,,
Clausura 2010,8,8,Gimnasia (LP),Rosario Central,1,1,,,,,,,,,,,,,,
Clausura 2010,8,9,Lanus,Estudiantes (LP),0,0,,,,,,,,,,,,,,
Clausura 2010,8,10,Independiente,River Plate,2,0,,,,,,,,,,,,,,
Clausura 2010,9,1,Rosario Central,San Lorenzo,1,0,,,,,,,,,,,,,,
Clausura 2010,9,2,Velez,Lanus,1,0,,,,,,,,,,,,,,
Clausura 2010,9,3,Colon,Gimnasia (LP),1,1,,,,,,,,,,,,,,
